Training_1	Training_2	Training_3	Training_4	Training_5	Training_6	Training_7	Training_8	Training_9	Training_10	Training_11	Training_12	Training_13	Training_14	Training_15	Training_16	Training_17	Training_18	Training_19	Training_20	Training_21	Training_22	Training_23	Training_24	Training_25	Training_26	Training_27	Training_28	Training_29	Training_30	Training_31	Training_32	Training_33	Training_34	Training_35	Training_36	Training_37	Training_38	Training_39	Training_40	Training_41	Training_42	Training_43	Training_44	Training_45	Training_46	Training_47	Training_48	Training_49	Training_50	Training_51	Training_52	Training_53	Training_54	Training_55	Training_56	Training_57	Training_58	Training_59	Training_60	Training_61	Training_62	Training_63	Training_64	Training_65	Training_66	Training_67	Training_68	Training_69	Training_70	Training_71	Training_72	Training_73	Training_74	Training_75	Training_76	Training_77	Training_78	Training_79	Training_80
"TPM1"	5.1191477663	0	5.2016919364	6.7652777499	6.7611684904	4.696011498	6.2548267177	5.9333789664	6.309498466	3.1055025054	5.7965990034	5.1969571485	5.6030333799	5.1727234393	3.75118059	5.5106454645	4.7679187605	6.1383005231	4.9767471338	4.1548307731	7.294837212	5.2014596232	5.5339594848	3.1753467287	5.3769086396	7.0073278267	7.0022375188	5.1404906327	4.3734962026	6.4593198805	4.3658791705	4.8729048061	4.1280668348	5.3868566044	6.2584835152	5.4187306801	5.5797673022	3.6807269046	4.2340904997	3.2973088287	4.4662397221	4.2715444882	4.8118390904	5.0417240543	5.0577392673	4.6689469412	5.5072124028	5.2020479188	5.0444290567	6.5798332335	3.6823581161	6.5743554979	3.7507330685	6.8993764719	5.0960738618	5.3222643521	5.4783110572	5.5303824693	5.2545381009	3.9751795373	4.8668879073	5.1936534177	4.3194247998	3.6477808362	6.2931741262	3.0967881786	2.9797185693	4.6519053322	6.0284497579	2.6374565734	5.4352148787	3.7066372464	3.878838288	4.7508085673	4.5521022028	5.0713751191	3.1325006381	4.1548307731	5.0923819725	4.6708475937
"TPM2"	1.6527008174	1.0254749695	1.7119377819	2.6006660855	4.4447882125	1.5090002018	3.4671126377	3.0959408188	3.4032746069	0	2.9497908963	1.9507232537	1.052865273	1.4167699384	0	3.50997185	1.5635008129	3.2752447452	1.9097948206	1.0111523686	5.7781771043	1.5437735766	2.3508698746	0	2.3403412961	5.356111395	4.6348161332	3.204973197	1.7324574639	3.6584792351	0	1.6436619165	2.7824330828	2.4361986247	3.8521092047	2.3518298039	2.6895453609	1.6278087719	1.5867623796	1.6096285493	1.483153601	1.5724527009	3.5296710755	2.7045290607	3.291459552	0.9888298126	3.065752907	2.7748383734	2.0968361458	3.6160230357	0	4.1367140236	0	4.7854909723	1.7651936674	2.9083951015	2.6073450164	2.4931136169	1.0746155882	1.4913156308	2.1661680167	0.9755467824	1.6385148187	1.7958303393	3.5073613322	0	0	1.9770668254	3.1741275951	0	2.3614931966	0	1.3796750292	0	1.6206394203	1.8502961172	0	1.0111523686	1.8048740748	1.376536498
"TPM3"	4.4486294471	3.9166973165	4.9471438875	4.631453845	5.0056623471	5.2327898663	5.251162534	5.060949807	4.271308907	4.9161065125	4.5453338047	4.4758540004	5.0727656911	3.707348038	4.5295707184	4.6901250199	4.657684783	4.1033571547	4.817236052	4.9474941834	4.3664830311	5.1715675656	4.9057833847	3.7946722703	4.4922079016	5.098056237	5.3257956822	4.7479968599	5.0170325889	4.3862613764	4.6072052658	4.9256394637	4.6915904891	4.8030469217	4.3215667036	4.7960014962	5.0860224742	3.0601786205	4.6222555796	4.4369024325	4.8821548989	3.7076008972	4.0076602867	4.5198570853	2.1834908244	5.8710221569	4.6318262849	4.7280300045	5.0281843503	4.4641331703	4.0771611898	4.4998954027	3.9895056207	5.4111185398	4.5688614956	5.124799523	5.4029795381	4.9807028961	4.4130361121	5.2405657476	5.2890953172	4.8669154143	4.3600965937	4.0329656313	4.2245276663	4.3840898794	3.8339516083	4.6366649019	4.1781859625	4.3709519776	3.9603906438	4.2406362159	5.2539214366	4.8886849344	5.0033755275	4.9404431786	4.2357276313	4.9474941834	4.9142306948	4.0253338511
"TPM4"	4.392380756	3.4982667125	5.4179835845	5.743109218	5.6443195853	5.0892572591	5.0938106949	5.1823088886	5.3102501888	4.0286240558	5.0501651807	4.5612010027	4.4887624593	4.7514295542	4.5577874851	6.1611458748	4.4323303152	5.1978268601	4.5868544412	4.9363428183	5.4725473665	5.3104106836	5.2774889024	3.4198195533	4.897292187	6.2337313495	5.8928467255	5.0930063918	5.392010867	5.2514807831	4.4963385613	5.0718233467	4.6190184932	5.4852388317	5.3042475114	5.4784761654	4.8284872772	2.8474643957	4.8587951194	4.0109500732	5.0499605558	3.7470911493	5.2660449838	4.1750187182	3.4369177305	5.6995978858	4.8939693242	5.3059358333	4.9128496577	4.6754501921	4.7004930627	4.7766063623	4.4177685683	5.5336117172	5.2793986754	5.8294183	5.4521642951	5.3918195844	4.8309557212	5.1603014097	5.4470747776	4.9724309243	4.3644571615	3.7096324007	4.834779196	3.6904636468	4.2030332484	4.52908748	4.9680844656	4.0985470366	4.957722821	3.9777306718	4.5799292424	4.8897665971	4.8297629982	5.204068173	4.119709867	4.9363428183	5.3813744308	4.0605273749
"TPMT"	1.6795109203	2.5849575612	2.784270403	2.3724004433	0	2.6715880356	1.6952206292	1.9812493291	2.2213673792	2.6657323972	2.2006695765	2.3875639474	1.2353336777	1.7913216564	2.7244479333	2.8167487061	2.2012894682	0	1.8415611942	1.6701036893	1.6702332572	2.3238596791	1.1946544979	0.9220902194	1.2152397496	1.8834087463	1.9744677219	0.9452793559	1.2634013897	1.5067211734	2.5447439857	2.3712624071	1.6762869024	1.6109034469	1.1356486077	1.8258696264	2.064498827	2.3221128031	2.7297783177	2.3424063453	2.0898135279	2.4113920381	0.9320769631	2.9494287345	0.9579044745	1.1527614636	2.5081489564	2.1251047582	2.8582126816	2.0460419023	1.2193132621	1.2152397496	2.1667255458	1.6236348087	2.1516260641	1.1356486077	2.2050460525	1.7761489277	1.2634013897	2.8046766465	1.1108010035	2.9952393921	2.2736156073	2.088381857	2.3119906935	2.6101109328	3.0230576397	1.8164593198	1.243523051	1.1738799574	0	2.9263820147	2.8659940569	1.1654684293	1.8817970713	1.8189118643	1.3845887397	1.6701036893	2.0891060514	1.1373362075
"TPP1"	4.4648765849	4.4437012021	5.0171397709	4.1748977176	2.937193325	3.8491635305	4.5173001855	4.7289671331	4.3265755803	4.5487717828	4.4984407318	4.237809363	4.6833453412	3.8482200179	3.2774093143	5.1162068821	4.5079579169	4.4972538209	3.3131428827	4.9829402034	4.4753892965	2.9406659168	4.5961573869	2.9393160557	4.7508732122	4.167386727	3.0326659277	3.7286135196	3.558230784	4.4336221412	4.3311840313	4.760896422	3.4758399631	3.9018881842	4.01390389	3.9951315535	4.731980533	4.4980184231	3.6836199118	3.7868112787	3.6693124542	4.3461357444	3.4395533008	4.10550688	4.3447702539	4.5940678867	4.3970775097	2.5548488713	3.5826852167	4.3810766086	3.1987648592	4.2442546748	5.156465695	4.4795515192	4.3481922068	3.6418267284	4.2621178672	4.1209721514	4.5902971692	3.6307967684	2.5470017076	4.8808109095	3.4041457041	4.7357850806	4.1726998461	4.5160665845	2.0217270031	4.4593523248	4.3447166678	3.706334445	3.8654076455	3.019494588	4.9551530033	3.9728060118	4.3355727069	4.3992121887	4.1569088884	4.9829402034	4.8449690133	4.80092191
"TPP2"	3.8595583194	4.4714403762	5.3733631237	3.8502427263	1.9710109157	4.6227959967	3.6619717547	2.7237114732	4.8186463404	4.3661712882	4.9212060208	2.7051854701	3.5784373113	4.3137178424	4.5335396025	4.8198939485	4.4586797197	3.5777776792	4.4265169	3.9981585778	3.5913508119	5.214608847	3.7222257701	3.435563712	3.7481896493	3.2376907429	3.9640885719	3.4606474909	3.8966485428	4.770035138	4.2430319534	4.732857533	5.6036448223	4.74110634	4.4171714835	4.3729574662	3.7148075522	4.2681057209	4.1374610277	4.9664320229	4.3736217313	3.9505543854	3.865837746	5.2866399833	2.9362201205	3.8235005582	4.9983551662	4.5235331855	3.751562981	3.4133456476	4.6405702745	3.5784152041	4.4002124167	4.5356208613	3.804655637	4.2355002932	3.9671789536	5.402376328	3.3643663051	3.6856617507	5.5208467834	4.0333856429	4.8293789023	3.324854902	4.0190559254	5.6062480381	4.062854163	4.0782491228	3.6323981011	4.7998103738	4.4469145145	3.4126800769	4.1949209158	4.9246476487	4.0473202922	5.1577232624	3.6088161254	3.9981585778	4.2712790887	4.8999726655
"TPPP3"	2.5724673187	0	1.0617200406	2.7308834924	4.1716472344	1.0467759419	1.0603927064	1.0691272956	3.2346950861	1.0893326401	1.6477923421	1.2102591981	1.8817177234	1.7553477617	1.8654523476	2.3369511609	1.2370243529	1.0884076312	2.115117819	1.0505283299	2.7501150829	1.8217914845	1.014339131	0	1.7923378456	1.6704035816	1.0182164356	2.1594920176	2.3872516584	2.3581266559	1.7805961226	1.7805961226	1.496181389	1.4666122792	2.2893473671	1.4196082678	1.1409426181	2.3394891906	1.0494243706	2.1380959243	1.7695250602	0.9873013492	3.1958413275	0	2.253702444	0.9755530077	3.1121358227	1.4415839778	1.4879705381	0	1.680981843	1.7946755761	1.0907061143	1.8920056261	2.8167017283	0.9597538571	1.5249888048	3.9295685283	1.932814374	1.0467759419	1.6631837794	2.1660338706	1.5224955546	2.0038292546	2.0916587434	0	2.2081900652	0	3.5219553786	1.6785815678	0	0	1.7263674185	0.9873013492	2.0947401387	1.676696512	0	1.0505283299	1.9968204778	1.4476261855
"TPR"	4.8135656425	4.6846794894	4.6564477777	4.0462256933	4.8579193103	4.925760568	4.4153753749	4.4301774259	4.9023996662	3.354598017	5.2951757596	3.635062628	3.5762474311	4.7369777107	4.5924477827	5.1745919665	4.4447448654	3.9022570155	4.8485779784	4.5917442761	3.937916267	4.990424984	3.3980245284	2.0171872419	3.9818925557	4.3919157831	5.1183521244	3.6675860024	4.8076457696	5.0234541297	4.5469994303	4.5560766118	5.0652639321	5.6142122855	4.55875359	4.8515214189	5.2461441232	4.5410892093	4.5991816553	4.9935655284	5.3223845603	3.8285653363	4.7234958541	4.2987702653	3.6664134283	4.9976072824	5.5128485124	5.4735034052	4.7638157057	4.60446544	5.4881842005	3.9958020541	4.3870642566	4.8736390585	3.1329802902	5.5898180037	4.5207662528	4.810805708	4.6832017958	5.1109177438	5.1428060875	4.8872710519	4.788860935	4.5533012308	4.5629029469	4.4619388579	4.0542333747	4.9133000549	4.4534339989	4.8572425326	4.1649227628	4.6973480838	5.2193312022	3.4909496671	3.9955819526	4.7687375079	3.6062267614	4.5917442761	4.1242723343	4.6787064658
"TPRKB"	1.9328912731	2.3142975236	2.3032975088	1.6739038602	2.3430424498	1.012798052	1.5744675398	1.0367473925	1.6499319527	1.8942482563	1.933797041	2.1024613024	1.077822236	1.7859723414	1.8279144355	0.990963377	1.9343550164	2.3484127613	1.0058545858	1.5040209719	1.9223463353	0	1.7176863902	0	1.7611262755	1.6495601067	2.8480622355	0	1.8521526478	1.3157461081	1.7503934255	1.7503934255	1.929227263	2.4399765321	0.990963377	1.4167225124	0	1.520868255	1.0156336582	1.9122897411	1.4042656606	2.4758444029	1.7961132787	2.0414571227	1.102103476	1.0058545858	1.217696996	1.012798052	1.491591593	1.794926741	1.6592490566	1.0602911683	1.1139245402	1.8521526478	0	1.805317366	1.0021470174	1.5540913543	1.1023294314	0	0	1.3350796165	1.9574868791	2.394348465	2.0341552555	1.5213341547	0	2.0881517419	2.6396381279	2.0738934064	2.0579902737	2.2528967372	2.0368014445	1.016917145	1.5151041476	1.6991600523	1.208405976	1.5040209719	1.6628401961	1.8581248193
"TPSAB1"	4.5631080066	2.8376542188	4.8742564662	3.6493177426	2.2235330061	3.3070455287	3.7564516921	4.727631549	2.1279052909	2.2367111269	4.5935240446	3.9263642875	4.3801276166	3.6341274392	2.2956012853	3.0123408174	4.9359243142	3.2227891895	4.261599581	2.0760935917	2.949920065	2.0183769324	3.9041260441	3.7498125267	4.7031775198	3.7898470383	0.8592944938	0	0.9145990489	4.6004860344	2.8354760606	5.0213777397	0	1.653518828	4.0857605056	4.5538063111	3.5541375237	4.7828357385	2.3103426688	3.3962963355	1.2120667272	1.4952774574	1.2708705042	5.3893223004	5.226815027	3.4232974931	3.0911540279	1.9927506662	3.4373121066	2.5014638448	1.4851393522	4.7385748177	2.9874073783	2.3610498024	3.7018965783	2.0054397448	4.3458891648	4.3675606549	4.138124977	4.0796768744	4.597871389	3.561128198	2.6912872204	4.4954197987	5.1628335365	3.8372301455	3.0551571883	3.8395220787	4.4324458474	1.4828190116	2.8684196207	2.1246795358	3.9392423446	3.1446642234	3.3789733276	3.6248587346	1.9126057236	2.0760935917	1.8362815252	3.9545758407
"TPT1"	3.358744513	3.0909085631	4.4292373406	3.8468907005	3.5996215103	4.3499232124	3.7021310659	3.3340726098	4.2101219066	3.5894740147	3.4678961885	2.6857675456	3.3122727425	4.0205781752	2.7369769108	3.9249869778	3.2863299952	2.9395028164	4.2786511506	3.7414593791	3.235567211	3.765564579	3.443701269	3.0633261923	3.1435709178	3.2789638904	4.271726232	3.9680879218	3.256290586	3.1013872701	3.7186246121	3.7464219917	3.7982487154	2.9471298912	3.0867193006	3.9232931996	3.1267218837	3.5162280385	3.575860365	3.8390631878	3.829118836	3.3632382704	2.6510753722	3.997917316	3.35797137	3.8353091558	3.5568124455	1.9767101755	3.338136318	3.8772698687	3.6881893474	2.3275154011	3.8686781722	3.0613552092	3.6042630067	3.6339955398	3.4501216288	4.2864810702	3.3060119443	3.839721102	4.7131015001	3.8440404095	3.7688826399	4.0564598027	3.5099309427	3.1881826612	3.2774493078	3.7894896752	3.7326884901	3.7975890402	2.6393978049	3.1881702853	3.6373482034	4.2806627002	3.7100521078	3.4945106575	2.6397205714	3.7414593791	3.5487523192	3.5449371117
"TRA2A"	2.198557141	1.1617289009	2.8540162517	2.2928925427	1.7001220338	2.409793652	2.2187700273	1.8482000015	2.2604198458	2.1270493426	2.602760454	2.6820868526	1.6607521993	1.1431662033	2.5825930017	2.4352719837	2.2421820041	2.4212816113	2.6633951001	2.186443292	1.2820398899	2.4678411277	1.9790677765	2.7537066546	1.586921629	2.1863293593	2.3152441831	0	2.0795256458	2.2666937582	2.3566159398	1.8830852731	1.7059073287	1.6687248292	1.6908266553	2.677873311	1.2603888156	2.169095512	2.7522460527	1.7123869503	2.4101103586	1.9161439968	3.4346786813	1.1709358619	2.1286728269	2.6109386947	1.7277375808	2.7641882462	2.1565516555	2.0377330084	2.0807274593	2.0120648357	1.7155503152	1.2788935379	2.1159365634	2.1921618586	2.7827702782	1.9068726623	2.4533364629	2.3663308612	1.9159417241	1.895966081	1.7390011933	1.883241477	2.1646313619	2.3455407423	0	2.0481632709	2.3882129194	2.2018229642	2.3272053828	2.3455294653	1.9953728084	0.9198720947	1.722536863	2.3771968676	2.6903114285	2.186443292	2.3347433479	2.6743736584
"TRA2B"	3.3647019707	1.9736042276	3.8332007465	3.7133020936	2.9187215734	3.8276088817	3.811573227	3.9786631503	3.5694308725	3.7345942067	3.6452698543	4.0957133654	3.5074316047	3.4714144186	3.405951308	3.4949324338	3.594354868	3.4758414379	3.6813642461	3.5880167966	2.6996611128	3.3799777383	3.5567311516	0	3.1402661218	3.5519699575	3.6535081657	2.5902250313	3.28394595	3.7658430316	3.2607734395	3.3642646293	3.0272087311	3.5027644096	3.5143619617	3.9215214223	3.0453470166	3.4638098864	3.8720820539	2.566721519	3.6155504424	3.9212302105	3.9545022629	3.3607282099	2.9836125875	3.5107689419	3.4129070587	3.2274960889	3.5736429358	3.5941949194	3.3742801956	2.9676292118	2.9668024914	3.5688548565	3.3702313284	3.489146468	3.4033045201	2.5797632837	3.1351033029	3.7313576481	3.156767676	3.9015765964	2.6701486644	2.7481968279	3.7907384099	3.6091733287	3.3878611029	3.8826383402	3.025119617	3.8075402416	3.146381712	3.4519831516	3.3609320659	0.7745903981	3.0932861999	4.2602672832	3.7274867161	3.5880167966	3.3799777383	3.8054535574
"TRADD"	1.0609125908	0	1.0651777497	1.0799594562	2.2472051462	1.0480511589	1.6499579042	0	1.5878482697	1.0779064535	1.5678222884	1.1849022025	1.0448536567	1.4098490799	1.3806554765	0	0	1.0770852059	1.5520901646	1.5744384472	1.176375905	1.0480511589	1.6521983165	1.0989106497	1.6934655252	1.9874653585	0	0	1.0681190746	1.2706533724	0	0.9623700607	0	1.950312763	1.403877337	1.0480511589	0	2.0060393196	1.0510846573	1.0523493473	0	1.605813102	0	0	1.1436383873	0	1.1776135526	1.506622974	1.0541245387	1.0315826308	0	1.6954954956	1.0791257757	0.9623700607	1.070659855	0.9623700607	1.4608259839	0.9623700607	1.0681190746	1.8874421409	1.3341718964	0.9623700607	0	1.0661147389	1.5512810748	0	1.1931387405	1.0480511589	1.0516399142	0.9939783924	1.9757247364	1.0248268131	2.1450128614	0	2.723064387	1.0736753994	1.168796705	1.5744384472	1.0736753994	0
"TRAF2"	0.9645783163	1.4919589423	0	0	0	1.6684853519	0.9668513831	1.494816726	2.127331954	1.1894457683	1.2927106478	1.3155139568	1.1505318853	1.2525887976	1.053526304	1.053526304	1.3433247611	0	1.0701482897	1.3880926642	1.0600973825	2.2101191633	0	0.9960479429	0	0	1.114963005	1.0200110329	0	1.053526304	1.9022552968	1.4407443682	1.385070223	1.6979347402	0	2.1442969934	0	1.7439770005	2.2033740327	1.3900589765	1.3000437062	1.0824992303	1.6460300941	0	1.0330452121	2.1923644157	1.053526304	0.9539175389	2.0034000822	1.134913404	1.8005522423	1.1309437995	1.1908816636	1.053526304	1.1809125393	0	0	0	0	2.1268959662	1.7830364991	1.053526304	0.9631128173	1.5219086734	0	2.1161049674	1.3252226262	1.3000638222	0	0	0	1.9144422712	1.6087877404	0	1.3978751572	1.9069117981	0	1.3880926642	0	1.0551649094
"TRAM1"	2.2613595746	2.7484565553	2.0308925411	2.0484991834	0	2.1457484284	2.2440849424	1.1130403413	1.9161887645	1.0450447074	1.8965988102	2.074165027	2.7243606795	2.0893151343	2.1261611305	2.69691023	1.8971852405	1.8624857079	2.4058221936	1.9600047718	1.9601434836	3.0100530388	1.670058138	1.1360993008	2.2028648042	0.9443008343	2.1887086772	0	1.034562081	2.2580363846	2.2245962687	1.7042615555	2.2444570294	1.5296998631	1.8358668744	1.0895768936	2.9321485446	2.6464096542	2.6283246879	2.4522387155	1.0895768936	1.6190477271	3.1784589614	1.7058166611	1.1768584513	1.5334208158	1.8786353852	1.0895768936	1.5520510175	1.7508823269	1.3310295548	1.7177284667	1.8645139283	1.8108704173	0	1.7617679827	2.2827849115	2.5564377243	2.338434633	1.4748867694	2.219993614	2.0735383659	2.3284684973	2.0906062609	2.6899156294	3.2585408973	0	2.1160198428	0	2.0440495248	1.1428341556	0.9882895543	1.0895768936	1.6184462933	1.5744772005	1.1130403413	2.0276170837	1.9600047718	2.0833056348	2.7444439456
"TRAP1"	5.0960266215	4.8438633688	4.7119841746	4.253501457	4.9226199711	5.0937586016	5.3575342096	5.1489844573	5.0384379944	5.6631592106	4.8226288798	4.720710432	4.2763631141	4.7133092109	4.2499325293	5.1349529945	4.3047389715	4.8214456737	4.8301563774	4.6776443976	4.0105450254	4.4093686078	4.2803321951	5.4370438519	4.6074926086	5.4935575113	4.9731401239	4.1303565441	5.6892282853	4.5482234227	5.0554671629	5.1255219253	5.4018559629	5.4216225028	4.4446737915	5.3923850582	4.9821096865	4.4470961334	5.354675506	4.9329102044	5.1297069041	5.0250290836	5.1272921759	4.9875093053	3.9164603208	4.8381384323	4.9319335119	5.6331262342	5.2341392133	4.2039185324	5.8973700792	4.181096999	4.3887657071	5.223004783	4.5532836993	5.3080526224	4.0058489099	5.2113725856	4.099602704	5.5912896191	5.6166695632	4.4170458623	4.761569387	4.9258375081	4.7859854505	4.1010969678	4.6769463267	5.5827062053	4.5645769506	5.5855457054	5.1111592265	3.3372552591	4.5400128004	4.2975701821	4.2578184551	4.7647873169	5.5446713167	4.6776443976	4.3770936141	4.9093811321
"TRAPPC1"	1.0388996773	1.0444441807	0	0	0	1.0222114914	1.0424649029	0	0	1.0821898555	1.1597977953	0	1.6874480582	1.0222114914	1.3486117453	1.2330141625	1.7626153334	0	1.4978676852	1.0277833172	1.1906636777	0	1.5846651773	0	1.0379698964	1.5285911491	0	0	0	0.979112125	0	0.979112125	1.0222114914	1.0222114914	0.979112125	0	1.1640947871	2.3372028922	1.0261433258	1.0277833172	0	0	0	1.0555057635	0	0.9917850423	0	0	1.0300860723	0	0.979112125	2.0043373802	1.0832727152	0.979112125	0	0.979112125	1.4185205935	0.979112125	1.7257196772	1.5948492513	1.0222114914	1.6115611851	1.7708223687	1.0456629014	0.99806351	1.4228140632	0	1.0222114914	0	0	0	2.0237351869	1.461833696	0	1.7494254624	1.0555057635	0	1.0277833172	1.0555057635	0.9803623512
"TRAPPC2"	0	1.276083793	1.276083793	1.290027237	0	0	1.8070643021	1.2841038807	0	0	0.7599501631	0	0	0	0	0	1.0092016395	0	0	1.2639537984	0	0	0	0	0	0	0	0	0	0	0	0.7599501631	0	0	0	1.2598834647	0	1.2720538688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2598834647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2639537984	1.2841038807	0
"TRAPPC3"	1.3386697526	0.8984120169	1.3798604324	1.7532178298	1.2664065054	1.8443080402	1.6957323526	1.98041993	1.1300318908	2.153213642	1.3753293651	0	0	1.7913942624	1.1300318908	1.1300318908	1.889291234	0	0	1.3067806702	0.9872532539	1.6158031498	0	0.925352559	0	1.1556431982	1.9704344088	0.9484905571	2.1062115254	0	1.1932590753	1.5261111675	1.3038190681	1.6117887529	1.6608833553	1.8257812883	2.0632624551	1.6573262644	1.6377127187	1.6620511009	1.2206256814	1.1598695996	1.560514458	1.4361092384	1.6261439316	2.2831491571	1.389836865	0.8847362687	1.6476430555	0	1.2137563203	2.0067566583	1.2711725005	1.1300318908	0	2.0538445394	0	1.3084197553	0	1.560514458	1.9141445147	1.9923341618	1.3288029505	1.7926031956	0	0	1.4085065675	1.5642277197	0	1.1682868713	2.3354713019	1.2055910083	2.0061783478	1.1598695996	2.0888037371	0.9051979844	0	1.3067806702	2.0877482512	1.1317203982
"TRAPPC5"	0	1.894002735	1.0571098353	1.0758915169	0	1.0354110172	0	0	1.1606644161	1.7264609181	1.1523447122	0	1.0448057309	1.0354110172	0.9708125688	1.5580326883	1.7596580445	1.0736016308	0.9835340755	1.7245937278	0	0	1.5801847752	0	1.6161990104	1.8721637873	0	0	1.6916080876	1.2454012703	0	2.1092650582	1.7196776492	1.0354110172	1.362752439	0	1.1736791815	0	1.039249392	0	0	1.9165869323	0	0	0	1.4714426648	1.1630463943	1.0354110172	0	1.0329309483	1.0329309483	1.0299106332	1.0754226327	1.3316913051	1.0678660828	1.3196745769	0	1.4443294096	0	1.0354110172	0	2.3574234169	1.7611618343	0	0	0.9803681849	1.1768149445	0	1.6764925732	0	0	1.0268816499	1.4625589952	1.5391912782	1.7405113178	0	1.1552221274	1.7245937278	1.0679009925	1.9891465405
